0
//Type	Name                               
55    	"Silver Heart Fairy Shield"              
56    	"Manticore Fairy Shield"                 
57    	"Brilliant Fairy Shield"                 
59    	"Brilliant Shield"                       
end	
	
7	
//Type	Name                               
0     	"Bronze Helm"                        
1     	"Dragon Helm"                        
2     	"Pad Helm"                           
3     	"Legendary Helm"                     
4     	"Bone Helm"                          
5     	"Leather Helm"                       
6     	"Scale Helm"                         
7     	"Sphinx Mask"                        
8     	"Brass Helm"                         
9     	"Plate Helm"                         
10    	"Vine Helm"                          
11    	"Silk Helm"                          
12    	"Wind Helm"                          
13    	"Spirit Helm"                        
14    	"Guardian Helm"                      
16    	"Black Dragon Helm"                  
17    	"Dark Phoenix Helm"                  
18    	"Grand Soul Helm"                    
19    	"Holy Spirit Helm"                   
21    	"Great Dragon Helm"                  
22    	"Dark Soul Helm"                     
24    	"Red Spirit Helm"                    
25    	"Light Plate Mask"                   
26    	"Adamantine Mask"                    
27    	"Dark Steel Mask"                    
28    	"Dark Master Mask"                   
29    	"Dragon Knight Helm"                 
30    	"Venom Mist Helm"                    
31    	"Sylphid Ray Helm"                   
33    	"Sunlight Mask"                      
34    	"Ashcrow Helm"                       
35    	"Eclipse Helm"                       
36    	"Iris Helm"                          
38    	"Glorious Mask"                      
39    	"Violent Wind Helm"                  
40    	"Red Wing Helm"                      
41    	"Ancient Helm"                       
42    	"Demonic Helm"                       
43    	"Storm Blitz Helm"                   
44    	"Eternal Wing Helm"                  
45    	"Titan  Helm"                        
46    	"Brave Helm"                         
49    	"Seraphim Helm"                      
50    	"Divine Helm"                        
51    	"Royal Mask"                         
52    	"Hades Helm"                         
53    	"Succubus Helm"                      
54    	"Lazy Wind Helm"                     
55    	"Dark Devil Helm"                    
56    	"Sticky Helm"                        
58    	"Ambition Mask"                      
59    	"Sacred Fire Helm"                   
60    	"Storm Jahad Helm"                   
61    	"Piercing Groove Helm"               
62    	"Scale Helm"                         
63    	"Silk Helm"                          
64    	"Sphinx Helm"                        
65    	"Violent Wind Helm"                  
66    	"Dark Soul Helm"                     
67    	"Dragon Helm"                        
68    	"Guardian Helm"                      
69    	"Legendary Helm"                     
70    	"Red Wing Helm"                      
72    	"Storm Jahad Helm"                   
73    	"Phoenix Soul Helmet"                
74    	"Stormwing Helm"                     
75    	"Light Lord Helmet"                  
91    	"Robust Helmet"                      
92    	"Gru hill Helmet"                    
93    	"Princie Helmet"                     
94    	"Hirat Helmet"                       
95    	"Sate Helmet"                        
96    	"Robust Helmet"                      
97    	"Princie Helmet"                     
98    	"Bloodangel Knight Helm"             
99    	"Bloodangel Wizard Helm"             
100   	"Bloodangel Elf Helm (A)"            
101   	"Bloodangel Summoner Helm"           
103   	"Bloodangel Lord Helm"               
104   	"Bloodangel Fighter Helm"            
105   	"Bloodangel Lancer Helm"             
106   	"Awakening Soul Knight Helm"         
107   	"Awakening Soul Wizard Helm"         
108   	"Awakening Soul Elf Helm (A)"        
109   	"Awakening Soul Summoner Helm"       
111   	"Awakening Soul Lord Helm"           
112   	"Awakening Soul Fighter Helm"        
113   	"Awakening Soul Lancer Helm"         
114   	"Awakening Soul Elf Helm (B)"        
116   	"Rune Pad Helm"                      
117   	"Rune Spink Mask"                    
118   	"Rune Legendary Helmet"              
119   	"Kenaz Hood"                         
120   	"Rune Divine Helmet"                 
121   	"Rune Light Helmet"                  
122   	"Bloodangel Runist Helm"             
123   	"Darkangel Runist Helm"              
124   	"Rune Spink Mask"                    
125   	"Rune Legendary Helmet"              
126   	"[Bound] Rune Legendary Helmet"      
127   	"Holyangel Runist Helm"              
128   	"Awakening Soul Runist Helm"         
129   	"Blue Eye Runist Helm"               
130   	"[Bound] Dragon Helm"                
131   	"[Bound] Legendary Helm"             
132   	"[Bound] Guardian Helm"              
134   	"[Bound] Adamantine Mask"            
135   	"[Bound] Red Winged Helm"            
136   	"[Bound] Storm Zahard Helm"          
137   	"[Bound] Princie Helmet"             
138   	"Darkangel Knight Helm"              
139   	"Darkangel Wizard Helm"              
140   	"Darkangel Elf Helm (A)"             
141   	"Darkangel Summoner Helm"            
143   	"Darkangel Lord Helm"                
144   	"Darkangel Fighter Helm"             
145   	"Darkangel Lancer Helm"              
146   	"Tigris Helm"                        
147   	"Crimson Skull Helm"                 
148   	"Grace Helm"                         
149   	"Constant Helm"                      
150   	"Holyangel Knight Helm"              
151   	"Holyangel Wizard Helm"              
152   	"Holyangel Elf Helm (A)"             
153   	"Holyangel Summoner Helm"            
155   	"Holyangel Lord Helm"                
156   	"Holyangel Fighter Helm"             
157   	"Holyangel Lancer Helm"              
158   	"Bloodangel Elf Helm (B)"            
159   	"Darkangel Elf Helm (B)"             
160   	"Holyangel Elf Helm (B)"             
164   	"Blue Eye Knight Helm"               
165   	"Blue Eye Wizard Helm"               
166   	"Blue Eye Elf Helm (A)"              
167   	"Blue Eye Summoner Helm"             
169   	"Blue Eye Lord Helm"                 
170   	"Blue Eye Fighter Helm"              
171   	"Blue Eye Lancer Helmet"             
172   	"Blue Eye Elf Helm (B)"              
174   	"Slayer Red Wing Helm"               
175   	"Slayer Helm (A)"                    
176   	"Slayer Demonic Helm (A)"            
177   	"Nightwing Helm"                     
178   	"Fidelity Helm"                      
179   	"Trace Helm"                         
180   	"Bloodangel Slayer Helm"             
181   	"Darkangel Slayer Helm"              
182   	"Holyangel Slayer Helm"              
183   	"Soul Slayer Helm"                   
184   	"Blue Eye Slayer Helm"               
185   	"Silverheart Slayer Helm"            
186   	"Slayer Helm (B)"                    
187   	"Slayer Demonic Helm (B)"            
188   	"[Bound] Slayer Demonic Helm"        
189   	"Silverheart Knight Helm"            
190   	"Silver Heart Wizard Helm"           
191   	"Silverheart Elf Helm (A)"           
192   	"Silverheart Summoner Helm"          
194   	"Silverheart Lord Helm"              
195   	"Silverheart Fighter Helm"           
196   	"Silverheart Lancer Helm"            
197   	"Silverheart Elf Helm (B)"           
199   	"Silverheart Runist Helm"            
200   	"Bloodangel Knight Helm (Convict"    
201   	"Darkangel Knight Helm (Convicti"    
202   	"Holyangel Knight Helm (Convicti"    
203   	"Soul Knight Helm (Conviction)"      
204   	"Blue Eight Knight Helm (Convict"    
205   	"Silverheart Knight Helm (Convic"    
206   	"Leather Gunner Helmet"              
207   	"Scale Gunner Helmet"                
208   	"Round Gunner helmet"                
209   	"Frere Helmet"                       
210   	"Titan Gunner Helmet"                
211   	"Stormwinger Helmet"                 
212   	"Bloodangel Gun Crusher Helmet"      
213   	"Darkangel Gun Crusher Helmet"       
214   	"Holyangel Gun Crusher Helmet"       
215   	"Soul Gun Crusher Helmet"            
216   	"Blue Eye Gun Crusher Helmet"        
217   	"Silver Heart Gun Crusher Helmet"    
218   	"Scale Gunner Helmet"                
219   	"Frere Helmet"                       
220   	"[Bound] Frere Helmet"               
221   	"Manticore Knight Helm"              
222   	"Manticore Wizard Helmet"            
223   	"Manticore Elf Helmet"               
224   	"Manticore Summoner Helmet"          
226   	"Manticore Lord Helmet"              
227   	"Manticore Fighter Helmet"           
228   	"Manticore Lancer Helmet"            
229   	"Manticore Elf Helmet"               
231   	"Manticore Rune Wizard Helm"         
232   	"Manticore Slayer Helmet"            
233   	"Manticore Knight Helm (Convicti"    
234   	"Manticore Gun Crusher Helmet"       
235   	"Glimmer Helmet"                     
236   	"Light Ray Helmet"                   
237   	"Flash helmet"                       
238   	"Magic Flare Helmet"                 
239   	"Bright Helmet"                      
240   	"Darjeeling Helmet"                  
241   	"Blood Angel Light Wizard Helmet"    
242   	"Dark Angel Light Wizard Helmet"     
243   	"Holy Angel Light Wizard Helmet"     
244   	"Soul Light Wizard Helmet"           
245   	"Blue Eye Light Wizard Helmet"       
246   	"Silver Heart Light Wizard Helme"    
247   	"Manticore Light Wizard Helmet"      
248   	"Brilliant Light Wizard Helmet"      
249   	"Glimmer Helmet"                     
250   	"Light Ray Helmet"                   
251   	"[Bound] Light Ray Helmet"           
252   	"Mage Pad Helmet"                    
253   	"Mage Sphinx Mask"                   
254   	"Mage legendary Helmet"              
256   	"Noble Pixie Helmet"                 
257   	"Finesse Helmet"                     
258   	"Geist Helmet"                       
259   	"Blood Angel Mage Helmet"            
260   	"Dark Angel Mage Helmet"             
261   	"Holy Angel Mage Helmet"             
262   	"Soul Mage Helmet"                   
263   	"Blue Eye Mage Helmet"               
264   	"Silver Heart Mage Helmet"           
265   	"Manticore Mage Helmet"              
266   	"Brilliant Mage Helmet"              
267   	"Mage Sphinx Mask"                   
268   	"Mage Legendary Helmet"              
269   	"[Bound] Mage Legendary Helmet"      
270   	"Brilliant Knight Helmet"            
271   	"Brilliant Wizard Helmet"            
272   	"Brilliant Elf Helmet"               
273   	"Brilliant Summoner Helmet"          
275   	"Brilliant Lord Helmet"              
276   	"Brilliant Fighter Helmet"           
277   	"Brilliant Lancer Helmet"            
278   	"Brilliant Elf Helmet"               
280   	"Brilliant Rune Wizard Helmet"       
281   	"Brilliant Slayer Helmet"            
282   	"Brilliant Knight Helmet (Belief"    
283   	"Brilliant Gun Crasher Helmet"       
284   	"Apocalypse Knight Helmet"           
285   	"Apocalypse Wizard Helmet"           
286   	"Apocalypse Elf Helmet (B)"          
287   	"Apocalypse Summoner Helmet"         
289   	"Apocalypse Lord Helmet"             
290   	"Apocalypse Fighter Helmet"          
291   	"Apocalypse Lancer Helmet"           
292   	"Apocalypse Elf Helmet (A)"          
294   	"Apocalypse Rune Wizard Helmet"      
295   	"Apocalypse Slayer Helmet"           
296   	"Apocalypse Knight Helmet (Belie"    
297   	"Apocalypse Gun Crusher Helmet"      
298   	"Apocalypse Light Wizard Helmet"     
299   	"Apocalypse Mage Helmet"             
300   	"Illusion Knight Scale Helmet"       
301   	"Illusion Knight Iron Plate Helm"    
302   	"Steel Plate Helmet"                 
303   	"Black Origin Helmet"                
304   	"Primal Helmet"                      
305   	"Apex Helmet"                        
306   	"Blood Angel Illusion Knight Hel"    
307   	"Dark Angel Illusion Knight Helm"    
308   	"Holy Angel Illusion Knight Helm"    
309   	"Soul Illusion Knight Helmet"        
310   	"Blue Eye Illusion Knight Helmet"    
311   	"Silver Heart Illusion Knight He"    
312   	"Manticore Illusion Knight Helme"    
313   	"Brilliant Illusion Knight Helme"    
314   	"Apocalypse Illusion Knight Helm"    
315   	"Illusion Knight Iron Plate Helm"    
316   	"Steel Plate Helmet"                 
317   	"[Bound] Steel plate Helmet"         
end

8
//Type	Name                                 
0     	"Bronze Armor"                       
1     	"Dragon Armor"                       
2     	"Pad Armor"                          
3     	"Legendary Armor"                    
4     	"Bone Armor"                         
5     	"Leather Armor"                      
6     	"Scale Armor"                        
7     	"Sphinx Armor"                       
8     	"Brass Armor"                        
9     	"Plate Armor"                        
10    	"Vine Armor"                         
11    	"Silk Armor"                         
12    	"Wind Armor"                         
13    	"Spirit Armor"                       
14    	"Guardian Armor"                     
15    	"Storm Crow Armor"                   
16    	"Black Dragon Armor"                 
17    	"Dark Phoenix Armor"                 
18    	"Grand Soul Armor"                   
19    	"Holy Spirit Armor"                  
20    	"Thunder Hawk Armor"                 
21    	"Great Dragon Armor"                 
22    	"Dark Soul Armor"                    
23    	"Hurricane Armor"                    
24    	"Red Spirit Armor"                   
25    	"Light Plate Armor"                  
26    	"Adamantine Armor"                   
27    	"Dark Steel Armor"                   
28    	"Dark Master Armor"                  
29    	"Dragon Knight Armor"                
30    	"Venom Mist Armor"                   
31    	"Sylphid Ray Armor"                  
32    	"Volcano Armor"                      
33    	"Sunlight Armor"                     
34    	"Ashcrow Armor"                      
35    	"Eclipse Armor"                      
36    	"Iris Armor"                         
37    	"Valiant Armor"                      
38    	"Glorious Armor"                     
39    	"Violent Wind Armor"                 
40    	"Red Wing Armor"                     
41    	"Ancient Armor"                      
42    	"Demonic Armor"                      
43    	"Storm Blitz Armor"                  
44    	"Eternal Wing Armor"                 
45    	"Titan  Armor"                       
46    	"Brave Armor"                        
47    	"Phantom  Armor"                     
48    	"Destroy Armor"                      
49    	"Seraphim Armor"                     
50    	"Divine Armor"                       
51    	"Royal Armor"                        
52    	"Hades Armor"                        
53    	"Succubus Armor"                     
54    	"Lazy Wind Armor"                    
55    	"Dark Devil Armor"                   
56    	"Sticky Armor"                       
57    	"Hell Night Armor"                   
58    	"Ambition Armor"                     
59    	"Sacred Fire Armor"                  
60    	"Storm Jahad Armor"                  
61    	"Piercing Groove Armor"              
62    	"Scale Armor"                        
63    	"Silk Armor"                         
64    	"Sphinx Armor"                       
65    	"Violent Wind Armor"                 
66    	"Dark Soul Armor"                    
67    	"Dragon Armor"                       
68    	"Guardian Armor"                     
69    	"Legendary Armor"                    
70    	"Red Wing Armor"                     
71    	"Atlans Armor"                       
72    	"Storm Jahad Armor"                  
73    	"Phoenix Soul Armor"                 
74    	"Stormwing Armor"                    
75    	"Light Lord Armor"                   
76    	"Magic Knight Armor"                 
91    	"Robust Armor"                       
92    	"Gru Hill Armor"                     
93    	"Princie Armor"                      
94    	"Hirat Armor"                        
95    	"Sate Armor"                         
96    	"Robust Armor"                       
97    	"Princie Armor"                      
98    	"Bloodangel Knight Armor"            
99    	"Bloodangel Wizard Armor"            
100   	"Bloodangel Elf Armor (A)"           
101   	"Bloodangel Summoner Armor"          
102   	"Bloodangel Magic Armor (A)"         
103   	"Bloodangel Lord Armor"              
104   	"Bloodangel Fighter Armor"           
105   	"Bloodangel Lancer Armor"            
106   	"Awakening Soul Knight Armor"        
107   	"Awakening Soul Wizard Armor"        
108   	"Awakening Soul Elf Armor (A)"       
109   	"Awakening Soul Summoner Armor"      
110   	"Awakening Soul Magic Arm (A)"       
111   	"Awakening Soul Lord Armor"          
112   	"Awakening Soul Fighter Armor"       
113   	"Awakening Soul Lancer Armor"        
114   	"Awakening Soul Elf Armor (B)"       
115   	"Awakening Soul Magic Armor (B)"     
116   	"Rune Pad Armor"                     
117   	"Rune Spink Armor"                   
118   	"Rune Legendary Armor"               
119   	"Kanaz Armor"                        
120   	"Rune Devine Armor"                  
121   	"Rune Light Armor"                   
122   	"Bloodangel Runist Armor"            
123   	"Darkangel Runist Armor"             
124   	"Rune Spink Armor"                   
125   	"Rune Legendary Armor"               
126   	"[Bound] Rune Legendary Armor"       
127   	"Holyangel Runist Armor"             
128   	"Awakening Soul Runist Armor"        
129   	"Blue Eye Runist Armor"              
130   	"[Bound] Dragon Armor"               
131   	"[Bound] Legendary Armor"            
132   	"[Bound] Guardian Armor"             
133   	"[Bound] Atlans Armor"               
134   	"[Bound] Adamantine Armor"           
135   	"[Bound] Red Winged Armor"           
